questionnaire_item_id,feature,question_text_primary,caregiver_question,psychologist_question,feature_label_human,feature_description,term_explanation,section_name,subsection_name,questionnaire_section_suggested,questionnaire_subsection_suggested,layer,domain,domains_final,module,criterion_ref,instrument_or_source,feature_type,feature_role,dataset_class,questionnaire_class,visible_question_yes_no,generated_input_yes_no,show_in_questionnaire_yes_no,is_direct_input,is_transparent_derived,derivable_if_not_shown_yes_no,requires_internal_scoring,requires_exact_item_wording,requires_clinician_administration,requires_child_self_report,who_answers,respondent_expected,administered_by,response_type,scale_id,scale_name,response_options_json,min_value,max_value,unit,scale_guidance,include_caregiver_1_3,include_caregiver_2_3,include_caregiver_full,include_psychologist_1_3,include_psychologist_2_3,include_psychologist_full,modes_applicable,caregiver_rank,psychologist_rank,caregiver_priority_bucket,psychologist_priority_bucket,derived_from_features,internal_scoring_formula_summary,selection_rationale,help_text,notes,canonical_question_id,reuse_answer_from_question_id,question_audit_status
Q035,conduct_lpe_04_shallow_deficient_affect,"¿La forma en que expresa sus emociones parece poco sincera, superficial o muy limitada?","¿La forma en que expresa sus emociones parece poco sincera, superficial o muy limitada?","¿La forma en que expresa sus emociones parece poco sincera, superficial o muy limitada?",Conduct lpe 04 shallow deficient affect,Input for limited_prosocial_emotions - Conduct lpe 04 shallow deficient affect,,"3. Comportamiento, normas y convivencia","Empatía, culpa y sensibilidad emocional","3. Comportamiento, normas y convivencia","Empatía, culpa y sensibilidad emocional",dsm5,adhd,adhd|conduct|depression,limited_prosocial_emotions,specifier_LPE,dsm5,specifier_item,specifier_item,model_input,direct_both,yes,no,yes,yes,no,no,no,yes,no,no,Cuidador y/o psicólogo/a,caregiver_or_psychologist,caregiver_or_psychologist,single_choice,PERSISTENCE_0_2,Observación 0-2,"[{""value"": 0, ""label"": ""0 = No se observa""}, {""value"": 1, ""label"": ""1 = Se observa a veces o hay duda""}, {""value"": 2, ""label"": ""2 = Se observa de forma clara y persistente""}]",0.0,2.0,,"0 no se observa, 1 a veces o hay duda, 2 se observa de forma clara y persistente.",no,no,yes,no,no,yes,"caregiver_full, psychologist_full",141.0,167.0,baja,baja,,,feature DSM-5 explícita; prioridad DSM-5 medium; capa specifier; respondible por ambos roles,"Por ejemplo, si sus emociones parecen frías, poco profundas, poco creíbles o no coinciden con la situación.",,,,audited_v16_4
Q036,conduct_01_bullies_threatens_intimidates,"¿Ha intimidado, amenazado o acosado repetidamente a otras personas?","¿Ha intimidado, amenazado o acosado repetidamente a otras personas?","¿Ha intimidado, amenazado o acosado repetidamente a otras personas?",Conduct 01 bullies threatens intimidates,Input for core_15_symptoms - Conduct 01 bullies threatens intimidates,,"3. Comportamiento, normas y convivencia",Conductas observables,"3. Comportamiento, normas y convivencia",Conductas observables,dsm5,adhd,adhd|conduct|elimination|anxiety|depression,core_15_symptoms,A1,dsm5,symptom_item,symptom_item,model_input,direct_both,yes,no,yes,yes,no,no,no,yes,no,no,Cuidador y/o psicólogo/a,caregiver_or_psychologist,caregiver_or_psychologist,single_choice,RECENCY_0_2,Recencia 0-2,"[{""value"": 0, ""label"": ""0 = No ocurrió""}, {""value"": 1, ""label"": ""1 = Ocurrió en los últimos 12 meses, pero no en los últimos 6 meses""}, {""value"": 2, ""label"": ""2 = Ocurrió en los últimos 6 meses""}]",0.0,2.0,,"0 no ocurrió, 1 ocurrió en los últimos 12 meses pero no en los últimos 6, 2 ocurrió en los últimos 6 meses.",yes,yes,yes,yes,yes,yes,"caregiver_1_3, caregiver_2_3, caregiver_full, psychologist_1_3, psychologist_2_3, psychologist_full",19.0,19.0,alta,alta,,,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles,"Incluya intimidación física, verbal o social.",,,,audited_v16_4
Q037,conduct_02_initiates_fights,¿Ha iniciado peleas físicas?,¿Ha iniciado peleas físicas?,¿Ha iniciado peleas físicas?,Conduct 02 initiates fights,Input for core_15_symptoms - Conduct 02 initiates fights,,"3. Comportamiento, normas y convivencia",Conductas observables,"3. Comportamiento, normas y convivencia",Conductas observables,dsm5,adhd,adhd|conduct|anxiety|depression,core_15_symptoms,A2,dsm5,symptom_item,symptom_item,model_input,direct_both,yes,no,yes,yes,no,no,no,yes,no,no,Cuidador y/o psicólogo/a,caregiver_or_psychologist,caregiver_or_psychologist,single_choice,RECENCY_0_2,Recencia 0-2,"[{""value"": 0, ""label"": ""0 = No ocurrió""}, {""value"": 1, ""label"": ""1 = Ocurrió en los últimos 12 meses, pero no en los últimos 6 meses""}, {""value"": 2, ""label"": ""2 = Ocurrió en los últimos 6 meses""}]",0.0,2.0,,"0 no ocurrió, 1 ocurrió en los últimos 12 meses pero no en los últimos 6, 2 ocurrió en los últimos 6 meses.",yes,yes,yes,yes,yes,yes,"caregiver_1_3, caregiver_2_3, caregiver_full, psychologist_1_3, psychologist_2_3, psychologist_full",20.0,20.0,alta,alta,,,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles,No solo responder o defenderse.,,,,audited_v16_4
Q038,conduct_03_weapon_use,¿Ha usado un objeto o arma que pudiera causar daño grave?,¿Ha usado un objeto o arma que pudiera causar daño grave?,¿Ha usado un objeto o arma que pudiera causar daño grave?,Conduct 03 weapon use,Input for core_15_symptoms - Conduct 03 weapon use,,"3. Comportamiento, normas y convivencia",Conductas observables,"3. Comportamiento, normas y convivencia",Conductas observables,dsm5,adhd,adhd|conduct|anxiety|depression,core_15_symptoms,A3,dsm5,symptom_item,symptom_item,model_input,direct_both,yes,no,yes,yes,no,no,no,yes,no,no,Cuidador y/o psicólogo/a,caregiver_or_psychologist,caregiver_or_psychologist,single_choice,RECENCY_0_2,Recencia 0-2,"[{""value"": 0, ""label"": ""0 = No ocurrió""}, {""value"": 1, ""label"": ""1 = Ocurrió en los últimos 12 meses, pero no en los últimos 6 meses""}, {""value"": 2, ""label"": ""2 = Ocurrió en los últimos 6 meses""}]",0.0,2.0,,"0 no ocurrió, 1 ocurrió en los últimos 12 meses pero no en los últimos 6, 2 ocurrió en los últimos 6 meses.",yes,yes,yes,yes,yes,yes,"caregiver_1_3, caregiver_2_3, caregiver_full, psychologist_1_3, psychologist_2_3, psychologist_full",21.0,21.0,alta,alta,,,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles,"Por ejemplo cuchillo, palo, piedra u otro objeto peligroso.",,,,audited_v16_4
Q039,conduct_04_physical_cruelty_people,¿Ha sido físicamente cruel con otras personas?,¿Ha sido físicamente cruel con otras personas?,¿Ha sido físicamente cruel con otras personas?,Conduct 04 physical cruelty people,Input for core_15_symptoms - Conduct 04 physical cruelty people,,"3. Comportamiento, normas y convivencia",Conductas observables,"3. Comportamiento, normas y convivencia",Conductas observables,dsm5,adhd,adhd|conduct|anxiety|depression,core_15_symptoms,A4,dsm5,symptom_item,symptom_item,model_input,direct_both,yes,no,yes,yes,no,no,no,yes,no,no,Cuidador y/o psicólogo/a,caregiver_or_psychologist,caregiver_or_psychologist,single_choice,RECENCY_0_2,Recencia 0-2,"[{""value"": 0, ""label"": ""0 = No ocurrió""}, {""value"": 1, ""label"": ""1 = Ocurrió en los últimos 12 meses, pero no en los últimos 6 meses""}, {""value"": 2, ""label"": ""2 = Ocurrió en los últimos 6 meses""}]",0.0,2.0,,"0 no ocurrió, 1 ocurrió en los últimos 12 meses pero no en los últimos 6, 2 ocurrió en los últimos 6 meses.",yes,yes,yes,yes,yes,yes,"caregiver_1_3, caregiver_2_3, caregiver_full, psychologist_1_3, psychologist_2_3, psychologist_full",22.0,22.0,alta,alta,,,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles,Incluya daño deliberado más allá de una pelea aislada.,,,,audited_v16_4
Q040,conduct_05_physical_cruelty_animals,¿Ha sido físicamente cruel con animales?,¿Ha sido físicamente cruel con animales?,¿Ha sido físicamente cruel con animales?,Conduct 05 physical cruelty animals,Input for core_15_symptoms - Conduct 05 physical cruelty animals,,"3. Comportamiento, normas y convivencia",Conductas observables,"3. Comportamiento, normas y convivencia",Conductas observables,dsm5,adhd,adhd|conduct|anxiety|depression,core_15_symptoms,A5,dsm5,symptom_item,symptom_item,model_input,direct_both,yes,no,yes,yes,no,no,no,yes,no,no,Cuidador y/o psicólogo/a,caregiver_or_psychologist,caregiver_or_psychologist,single_choice,RECENCY_0_2,Recencia 0-2,"[{""value"": 0, ""label"": ""0 = No ocurrió""}, {""value"": 1, ""label"": ""1 = Ocurrió en los últimos 12 meses, pero no en los últimos 6 meses""}, {""value"": 2, ""label"": ""2 = Ocurrió en los últimos 6 meses""}]",0.0,2.0,,"0 no ocurrió, 1 ocurrió en los últimos 12 meses pero no en los últimos 6, 2 ocurrió en los últimos 6 meses.",yes,yes,yes,yes,yes,yes,"caregiver_1_3, caregiver_2_3, caregiver_full, psychologist_1_3, psychologist_2_3, psychologist_full",23.0,23.0,alta,alta,,,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles,Incluya daño deliberado.,,,,audited_v16_4
Q041,conduct_06_steals_confronting_victim,"¿Ha robado algo usando amenaza, fuerza o intimidación contra otra persona?","¿Ha robado algo usando amenaza, fuerza o intimidación contra otra persona?","¿Ha robado algo usando amenaza, fuerza o intimidación contra otra persona?",Conduct 06 steals confronting victim,Input for core_15_symptoms - Conduct 06 steals confronting victim,,"3. Comportamiento, normas y convivencia",Conductas observables,"3. Comportamiento, normas y convivencia",Conductas observables,dsm5,adhd,adhd|conduct|anxiety|depression,core_15_symptoms,A6,dsm5,symptom_item,symptom_item,model_input,direct_both,yes,no,yes,yes,no,no,no,yes,no,no,Cuidador y/o psicólogo/a,caregiver_or_psychologist,caregiver_or_psychologist,single_choice,RECENCY_0_2,Recencia 0-2,"[{""value"": 0, ""label"": ""0 = No ocurrió""}, {""value"": 1, ""label"": ""1 = Ocurrió en los últimos 12 meses, pero no en los últimos 6 meses""}, {""value"": 2, ""label"": ""2 = Ocurrió en los últimos 6 meses""}]",0.0,2.0,,"0 no ocurrió, 1 ocurrió en los últimos 12 meses pero no en los últimos 6, 2 ocurrió en los últimos 6 meses.",yes,yes,yes,yes,yes,yes,"caregiver_1_3, caregiver_2_3, caregiver_full, psychologist_1_3, psychologist_2_3, psychologist_full",24.0,24.0,alta,alta,,,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles,"Por ejemplo, quitar algo presionando, amenazando, golpeando o asustando directamente a la otra persona.",,,,audited_v16_4
Q042,conduct_07_forced_sex,¿Ha forzado a otra persona a una actividad sexual?,¿Ha forzado a otra persona a una actividad sexual?,¿Ha forzado a otra persona a una actividad sexual?,Conduct 07 forced sex,Input for core_15_symptoms - Conduct 07 forced sex,,"3. Comportamiento, normas y convivencia",Conductas observables,"3. Comportamiento, normas y convivencia",Conductas observables,dsm5,adhd,adhd|conduct|anxiety|depression,core_15_symptoms,A7,dsm5,symptom_item,symptom_item,model_input,direct_both,yes,no,yes,yes,no,no,no,yes,no,no,Cuidador y/o psicólogo/a,caregiver_or_psychologist,caregiver_or_psychologist,single_choice,RECENCY_0_2,Recencia 0-2,"[{""value"": 0, ""label"": ""0 = No ocurrió""}, {""value"": 1, ""label"": ""1 = Ocurrió en los últimos 12 meses, pero no en los últimos 6 meses""}, {""value"": 2, ""label"": ""2 = Ocurrió en los últimos 6 meses""}]",0.0,2.0,,"0 no ocurrió, 1 ocurrió en los últimos 12 meses pero no en los últimos 6, 2 ocurrió en los últimos 6 meses.",yes,yes,yes,yes,yes,yes,"caregiver_1_3, caregiver_2_3, caregiver_full, psychologist_1_3, psychologist_2_3, psychologist_full",25.0,25.0,alta,alta,,,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles,Ítem sensible; responder con máximo cuidado clínico.,,,,audited_v16_4
Q043,conduct_08_fire_setting,¿Ha provocado incendios deliberadamente con intención de causar daño o problemas serios?,¿Ha provocado incendios deliberadamente con intención de causar daño o problemas serios?,¿Ha provocado incendios de manera deliberada con intención de causar daño?,Conduct 08 fire setting,Input for core_15_symptoms - Conduct 08 fire setting,,"3. Comportamiento, normas y convivencia",Conductas observables,"3. Comportamiento, normas y convivencia",Conductas observables,dsm5,adhd,adhd|conduct|elimination|anxiety|depression,core_15_symptoms,A8,dsm5,symptom_item,symptom_item,model_input,direct_both,yes,no,yes,yes,no,no,no,yes,no,no,Cuidador y/o psicólogo/a,caregiver_or_psychologist,caregiver_or_psychologist,single_choice,RECENCY_0_2,Recencia 0-2,"[{""value"": 0, ""label"": ""0 = No ocurrió""}, {""value"": 1, ""label"": ""1 = Ocurrió en los últimos 12 meses, pero no en los últimos 6 meses""}, {""value"": 2, ""label"": ""2 = Ocurrió en los últimos 6 meses""}]",0.0,2.0,,"0 no ocurrió, 1 ocurrió en los últimos 12 meses pero no en los últimos 6, 2 ocurrió en los últimos 6 meses.",yes,yes,yes,yes,yes,yes,"caregiver_1_3, caregiver_2_3, caregiver_full, psychologist_1_3, psychologist_2_3, psychologist_full",26.0,26.0,alta,alta,,,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles,No cuente curiosidad aislada sin intención dañina.,,,,audited_v16_4
Q044,conduct_09_property_destruction,¿Ha destruido deliberadamente propiedad ajena?,¿Ha destruido deliberadamente propiedad ajena?,¿Ha destruido deliberadamente propiedad ajena?,Conduct 09 property destruction,Input for core_15_symptoms - Conduct 09 property destruction,,"3. Comportamiento, normas y convivencia",Conductas observables,"3. Comportamiento, normas y convivencia",Conductas observables,dsm5,adhd,adhd|conduct|anxiety|depression,core_15_symptoms,A9,dsm5,symptom_item,symptom_item,model_input,direct_both,yes,no,yes,yes,no,no,no,yes,no,no,Cuidador y/o psicólogo/a,caregiver_or_psychologist,caregiver_or_psychologist,single_choice,RECENCY_0_2,Recencia 0-2,"[{""value"": 0, ""label"": ""0 = No ocurrió""}, {""value"": 1, ""label"": ""1 = Ocurrió en los últimos 12 meses, pero no en los últimos 6 meses""}, {""value"": 2, ""label"": ""2 = Ocurrió en los últimos 6 meses""}]",0.0,2.0,,"0 no ocurrió, 1 ocurrió en los últimos 12 meses pero no en los últimos 6, 2 ocurrió en los últimos 6 meses.",yes,yes,yes,yes,yes,yes,"caregiver_1_3, caregiver_2_3, caregiver_full, psychologist_1_3, psychologist_2_3, psychologist_full",27.0,27.0,alta,alta,,,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles,"Por ejemplo romper objetos, paredes, carros u otros bienes.",,,,audited_v16_4
Q045,conduct_10_breaks_into_house_building_car,"¿Ha entrado por la fuerza a una casa, edificio o vehículo que no le pertenecía?","¿Ha entrado por la fuerza a una casa, edificio o vehículo que no le pertenecía?","¿Ha entrado por la fuerza a una casa, edificio o vehículo?",Conduct 10 breaks into house building car,Input for core_15_symptoms - Conduct 10 breaks into house building car,,"3. Comportamiento, normas y convivencia",Conductas observables,"3. Comportamiento, normas y convivencia",Conductas observables,dsm5,adhd,adhd|conduct|anxiety|depression,core_15_symptoms,A10,dsm5,symptom_item,symptom_item,model_input,direct_both,yes,no,yes,yes,no,no,no,yes,no,no,Cuidador y/o psicólogo/a,caregiver_or_psychologist,caregiver_or_psychologist,single_choice,RECENCY_0_2,Recencia 0-2,"[{""value"": 0, ""label"": ""0 = No ocurrió""}, {""value"": 1, ""label"": ""1 = Ocurrió en los últimos 12 meses, pero no en los últimos 6 meses""}, {""value"": 2, ""label"": ""2 = Ocurrió en los últimos 6 meses""}]",0.0,2.0,,"0 no ocurrió, 1 ocurrió en los últimos 12 meses pero no en los últimos 6, 2 ocurrió en los últimos 6 meses.",yes,yes,yes,yes,yes,yes,"caregiver_1_3, caregiver_2_3, caregiver_full, psychologist_1_3, psychologist_2_3, psychologist_full",28.0,28.0,alta,alta,,,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles,Incluya allanamiento o ingreso forzado.,,,,audited_v16_4
Q046,conduct_11_lies_to_obtain_or_avoid,"¿Miente con frecuencia para obtener beneficios, evitar consecuencias o librarse de obligaciones?","¿Miente con frecuencia para obtener beneficios, evitar consecuencias o librarse de obligaciones?",¿Miente con frecuencia para obtener beneficios o evitar obligaciones?,Conduct 11 lies to obtain or avoid,Input for core_15_symptoms - Conduct 11 lies to obtain or avoid,,"3. Comportamiento, normas y convivencia",Conductas observables,"3. Comportamiento, normas y convivencia",Conductas observables,dsm5,adhd,adhd|conduct|anxiety|depression,core_15_symptoms,A11,dsm5,symptom_item,symptom_item,model_input,direct_both,yes,no,yes,yes,no,no,no,yes,no,no,Cuidador y/o psicólogo/a,caregiver_or_psychologist,caregiver_or_psychologist,single_choice,RECENCY_0_2,Recencia 0-2,"[{""value"": 0, ""label"": ""0 = No ocurrió""}, {""value"": 1, ""label"": ""1 = Ocurrió en los últimos 12 meses, pero no en los últimos 6 meses""}, {""value"": 2, ""label"": ""2 = Ocurrió en los últimos 6 meses""}]",0.0,2.0,,"0 no ocurrió, 1 ocurrió en los últimos 12 meses pero no en los últimos 6, 2 ocurrió en los últimos 6 meses.",yes,yes,yes,yes,yes,yes,"caregiver_1_3, caregiver_2_3, caregiver_full, psychologist_1_3, psychologist_2_3, psychologist_full",29.0,29.0,alta,alta,,,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles,No cuente mentiras ocasionales propias de la edad.,,,,audited_v16_4
Q047,conduct_12_steals_without_confrontation,"¿Ha robado objetos sin usar amenaza, fuerza ni contacto directo con la persona afectada?","¿Ha robado objetos sin usar amenaza, fuerza ni contacto directo con la persona afectada?","¿Ha robado objetos sin usar amenaza, fuerza ni contacto directo con la persona afectada?",Conduct 12 steals without confrontation,Input for core_15_symptoms - Conduct 12 steals without confrontation,,"3. Comportamiento, normas y convivencia",Conductas observables,"3. Comportamiento, normas y convivencia",Conductas observables,dsm5,adhd,adhd|conduct|anxiety|depression,core_15_symptoms,A12,dsm5,symptom_item,symptom_item,model_input,direct_both,yes,no,yes,yes,no,no,no,yes,no,no,Cuidador y/o psicólogo/a,caregiver_or_psychologist,caregiver_or_psychologist,single_choice,RECENCY_0_2,Recencia 0-2,"[{""value"": 0, ""label"": ""0 = No ocurrió""}, {""value"": 1, ""label"": ""1 = Ocurrió en los últimos 12 meses, pero no en los últimos 6 meses""}, {""value"": 2, ""label"": ""2 = Ocurrió en los últimos 6 meses""}]",0.0,2.0,,"0 no ocurrió, 1 ocurrió en los últimos 12 meses pero no en los últimos 6, 2 ocurrió en los últimos 6 meses.",yes,yes,yes,yes,yes,yes,"caregiver_1_3, caregiver_2_3, caregiver_full, psychologist_1_3, psychologist_2_3, psychologist_full",30.0,30.0,alta,alta,,,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles,"Por ejemplo, tomar dinero u objetos escondidas, sin enfrentarse directamente a la persona afectada.",,,,audited_v16_4
Q048,conduct_13_stays_out_at_night_before_13,¿Se ha quedado fuera de casa durante la noche sin permiso?,¿Se ha quedado fuera de casa durante la noche sin permiso?,¿Se ha quedado fuera de casa durante la noche sin permiso?,Conduct 13 stays out at night before 13,Input for core_15_symptoms - Conduct 13 stays out at night before 13,,"3. Comportamiento, normas y convivencia",Conductas observables,"3. Comportamiento, normas y convivencia",Conductas observables,dsm5,adhd,adhd|conduct|anxiety|depression,core_15_symptoms,A13,dsm5,symptom_item,symptom_item,model_input,direct_both,yes,no,yes,yes,no,no,no,yes,no,no,Cuidador y/o psicólogo/a,caregiver_or_psychologist,caregiver_or_psychologist,single_choice,RECENCY_0_2,Recencia 0-2,"[{""value"": 0, ""label"": ""0 = No ocurrió""}, {""value"": 1, ""label"": ""1 = Ocurrió en los últimos 12 meses, pero no en los últimos 6 meses""}, {""value"": 2, ""label"": ""2 = Ocurrió en los últimos 6 meses""}]",0.0,2.0,,"0 no ocurrió, 1 ocurrió en los últimos 12 meses pero no en los últimos 6, 2 ocurrió en los últimos 6 meses.",yes,yes,yes,yes,yes,yes,"caregiver_1_3, caregiver_2_3, caregiver_full, psychologist_1_3, psychologist_2_3, psychologist_full",31.0,31.0,alta,alta,,,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles,Considere si ocurrió de forma relevante y no solo por una situación excepcional o un malentendido puntual.,,,,audited_v16_4
Q049,conduct_14_runs_away_overnight,¿Se ha escapado de casa pasando la noche fuera?,¿Se ha escapado de casa pasando la noche fuera?,¿Se ha escapado de casa pasando la noche fuera?,Conduct 14 runs away overnight,Input for core_15_symptoms - Conduct 14 runs away overnight,,"3. Comportamiento, normas y convivencia",Conductas observables,"3. Comportamiento, normas y convivencia",Conductas observables,dsm5,adhd,adhd|conduct|anxiety|depression,core_15_symptoms,A14,dsm5,symptom_item,symptom_item,model_input,direct_both,yes,no,yes,yes,no,no,no,yes,no,no,Cuidador y/o psicólogo/a,caregiver_or_psychologist,caregiver_or_psychologist,single_choice,RECENCY_0_2,Recencia 0-2,"[{""value"": 0, ""label"": ""0 = No ocurrió""}, {""value"": 1, ""label"": ""1 = Ocurrió en los últimos 12 meses, pero no en los últimos 6 meses""}, {""value"": 2, ""label"": ""2 = Ocurrió en los últimos 6 meses""}]",0.0,2.0,,"0 no ocurrió, 1 ocurrió en los últimos 12 meses pero no en los últimos 6, 2 ocurrió en los últimos 6 meses.",yes,yes,yes,yes,yes,yes,"caregiver_1_3, caregiver_2_3, caregiver_full, psychologist_1_3, psychologist_2_3, psychologist_full",32.0,32.0,alta,alta,,,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles,Marque según ocurrencia relevante.,,,,audited_v16_4
Q050,conduct_15_truancy_before_13,¿Ha faltado al colegio sin permiso?,¿Ha faltado al colegio sin permiso?,¿Ha faltado al colegio sin permiso?,Conduct 15 truancy before 13,Input for core_15_symptoms - Conduct 15 truancy before 13,,"3. Comportamiento, normas y convivencia",Conductas observables,"3. Comportamiento, normas y convivencia",Conductas observables,dsm5,adhd,adhd|conduct|anxiety|depression,core_15_symptoms,A15,dsm5,symptom_item,symptom_item,model_input,direct_both,yes,no,yes,yes,no,no,no,yes,no,no,Cuidador y/o psicólogo/a,caregiver_or_psychologist,caregiver_or_psychologist,single_choice,RECENCY_0_2,Recencia 0-2,"[{""value"": 0, ""label"": ""0 = No ocurrió""}, {""value"": 1, ""label"": ""1 = Ocurrió en los últimos 12 meses, pero no en los últimos 6 meses""}, {""value"": 2, ""label"": ""2 = Ocurrió en los últimos 6 meses""}]",0.0,2.0,,"0 no ocurrió, 1 ocurrió en los últimos 12 meses pero no en los últimos 6, 2 ocurrió en los últimos 6 meses.",yes,yes,yes,yes,yes,yes,"caregiver_1_3, caregiver_2_3, caregiver_full, psychologist_1_3, psychologist_2_3, psychologist_full",33.0,33.0,alta,alta,,,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles,"Considere ausencias voluntarias y no justificadas, no faltas explicadas por enfermedad u otra causa conocida.",,,,audited_v16_4
Q051,agor_almost_always_triggered,"Pensando en lugares o situaciones donde siente que sería difícil salir o recibir ayuda, ¿ese miedo aparece casi siempre cuando está allí?","Pensando en lugares o situaciones donde siente que sería difícil salir o recibir ayuda, ¿ese miedo aparece casi siempre cuando está allí?","Pensando en lugares o situaciones donde siente que sería difícil salir o recibir ayuda, ¿ese miedo aparece casi siempre cuando está allí?",Agor almost always triggered,Input for agoraphobia - Agor almost always triggered,Agorafobia: miedo intenso a situaciones de las que sería difícil salir o recibir ayuda.,"4. Miedos, preocupación y evitación",Miedo a ciertos lugares o situaciones,"4. Miedos, preocupación y evitación",Miedo a ciertos lugares o situaciones,dsm5,adhd,adhd|anxiety|depression,agoraphobia,Agor_C,dsm5,symptom_item,symptom_item,model_input,direct_both,yes,no,yes,yes,no,no,no,yes,no,no,Cuidador y/o psicólogo/a,caregiver_or_psychologist,caregiver_or_psychologist,single_choice,FREQ_0_3,Frecuencia 0-3,"[{""value"": 0, ""label"": ""0 = Nunca o ausente""}, {""value"": 1, ""label"": ""1 = Leve / ocasional""}, {""value"": 2, ""label"": ""2 = Claro / frecuente""}, {""value"": 3, ""label"": ""3 = Muy marcado / casi siempre""}]",0.0,3.0,,"0 nunca o ausente, 1 leve u ocasional, 2 claro o frecuente, 3 muy marcado o casi siempre.",no,no,yes,no,no,yes,"caregiver_full, psychologist_full",123.0,125.0,baja,baja,,,feature DSM-5 explícita; prioridad DSM-5 medium; capa criteria_support; respondible por ambos roles,Agorafobia = miedo intenso a lugares o situaciones donde la persona siente que escapar sería difícil o que no recibiría ayuda si algo sale mal.,,,,audited_v16_4
Q052,agor_avoid_or_need_companion,¿Evita estas situaciones o necesita compañía para tolerarlas?,¿Evita estas situaciones o necesita compañía para tolerarlas?,¿Evita estas situaciones o necesita compañía para tolerarlas?,Agor avoid or need companion,Input for agoraphobia - Agor avoid or need companion,Agorafobia: miedo intenso a situaciones de las que sería difícil salir o recibir ayuda.,"4. Miedos, preocupación y evitación",Miedo a ciertos lugares o situaciones,"4. Miedos, preocupación y evitación",Miedo a ciertos lugares o situaciones,dsm5,adhd,adhd|elimination|anxiety|depression,agoraphobia,Agor_D,dsm5,symptom_item,symptom_item,model_input,direct_both,yes,no,yes,yes,no,no,no,yes,no,no,Cuidador y/o psicólogo/a,caregiver_or_psychologist,caregiver_or_psychologist,single_choice,YES_NO,Sí / No,"[{""value"": 0, ""label"": ""No""}, {""value"": 1, ""label"": ""Sí""}]",0.0,1.0,,Seleccione Sí o No.,no,yes,yes,no,yes,yes,"caregiver_2_3, caregiver_full, psychologist_2_3, psychologist_full",65.0,65.0,media,media,,,feature DSM-5 explícita; prioridad DSM-5 high; capa criteria_support; respondible por ambos roles,Agorafobia = miedo intenso a situaciones de las que sería difícil salir o recibir ayuda.,,,,audited_v16_4
Q053,agor_disproportionate,"Según su juicio clínico, ¿el miedo es claramente desproporcionado para el peligro real?","Según su juicio clínico, ¿el miedo es claramente desproporcionado para el peligro real?","Según su juicio clínico, ¿el miedo es claramente desproporcionado para el peligro real?",Agor disproportionate,Input for agoraphobia - Agor disproportionate,Agorafobia: miedo intenso a situaciones de las que sería difícil salir o recibir ayuda.,"4. Miedos, preocupación y evitación",Miedo a ciertos lugares o situaciones,"4. Miedos, preocupación y evitación",Miedo a ciertos lugares o situaciones,dsm5,adhd,adhd|depression,agoraphobia,Agor_E,dsm5,exclusion_flag,exclusion_flag,model_input,direct_psychologist_only,yes,no,yes,yes,no,no,no,yes,no,no,Psicólogo/a,psychologist,caregiver_or_psychologist,single_choice,YES_NO,Sí / No,"[{""value"": 0, ""label"": ""No""}, {""value"": 1, ""label"": ""Sí""}]",0.0,1.0,,Seleccione Sí o No.,no,no,no,no,no,yes,psychologist_full,,171.0,no_aplica,baja,,,feature DSM-5 explícita; prioridad DSM-5 medium; capa clinician_gate; solo psicólogo,Solo para juicio clínico profesional. Compare el miedo con el riesgo real de la situación.,,,,audited_v16_4
